epoch,loss,output_1_accuracy,output_1_loss,output_2_accuracy,output_2_loss,val_loss,val_output_1_accuracy,val_output_1_loss,val_output_2_accuracy,val_output_2_loss
0,1.3080085515975952,0.7833988666534424,0.648960292339325,0.5959665179252625,0.6590493321418762,1.046262264251709,0.7988651990890503,0.540665328502655,0.9280164837837219,0.5055955648422241
1,0.8702717423439026,0.8234420418739319,0.4107116460800171,0.8030431270599365,0.4595632553100586,0.5935465097427368,0.8461124897003174,0.36545947194099426,0.9307608008384705,0.22808672487735748
2,0.6252171397209167,0.8388652205467224,0.3633438050746918,0.8982850909233093,0.2618737816810608,0.5324772596359253,0.8585362434387207,0.3354937434196472,0.9419607520103455,0.1969834268093109
3,0.5401875972747803,0.8582329154014587,0.32196512818336487,0.9151333570480347,0.218224436044693,0.4829064905643463,0.8859797120094299,0.26290756464004517,0.9310389757156372,0.21999792754650116
4,0.4741249978542328,0.8737072348594666,0.28195950388908386,0.9293539524078369,0.192167267203331,0.34269529581069946,0.9143132567405701,0.22203712165355682,0.9692744016647339,0.12065824866294861
5,0.42997902631759644,0.8842508792877197,0.259499728679657,0.9387943148612976,0.17047929763793945,0.727261483669281,0.7375067472457886,0.5655857920646667,0.9544586539268494,0.16167563199996948
6,0.3943493962287903,0.8916708827018738,0.24354511499404907,0.9461451172828674,0.15080414712429047,0.628554105758667,0.7776520848274231,0.4773007035255432,0.9538838267326355,0.15125297009944916
7,0.36727213859558105,0.8967247605323792,0.23317760229110718,0.9523504376411438,0.1340942680835724,0.34603047370910645,0.873481810092926,0.26637211441993713,0.9771180748939514,0.07965859025716782
8,0.3472382724285126,0.8997522592544556,0.2271287441253662,0.9566947817802429,0.12011043727397919,0.26718246936798096,0.9228244423866272,0.18574368953704834,0.9762279987335205,0.08143889158964157
9,0.3284878730773926,0.9032006859779358,0.22041358053684235,0.9605851769447327,0.10807418823242188,0.3097204267978668,0.8853492736816406,0.24859848618507385,0.9816240072250366,0.06112181767821312
10,0.3120238482952118,0.905864417552948,0.21485626697540283,0.9642711281776428,0.09716879576444626,0.39328503608703613,0.849617063999176,0.32096728682518005,0.9782121181488037,0.07231763005256653
11,0.2962757349014282,0.9090512990951538,0.20924372971057892,0.967911958694458,0.08703205734491348,0.29533445835113525,0.9203211665153503,0.19562706351280212,0.9692002534866333,0.09970740228891373
12,0.28391721844673157,0.9110385775566101,0.20405952632427216,0.9706748723983765,0.07985807210206985,0.28442472219467163,0.9064696431159973,0.21350239217281342,0.9774889349937439,0.07092203199863434
13,0.2712233066558838,0.9140781164169312,0.19804760813713074,0.9732544422149658,0.07317610085010529,0.24437686800956726,0.9149436950683594,0.19983090460300446,0.9845537543296814,0.044545818120241165
14,0.2619236409664154,0.9165253639221191,0.19373640418052673,0.9753439426422119,0.06818701326847076,0.19227299094200134,0.9439448118209839,0.14731623232364655,0.9861670136451721,0.044956810772418976
15,0.25278806686401367,0.9185126423835754,0.18941764533519745,0.9772079586982727,0.06337123364210129,0.18422390520572662,0.942924976348877,0.147457554936409,0.9882252812385559,0.036766089498996735
16,0.24483749270439148,0.9207524657249451,0.18541236221790314,0.9786781072616577,0.05942610651254654,0.22635988891124725,0.9259582161903381,0.18668751418590546,0.987019956111908,0.03967246040701866
17,0.23769216239452362,0.9224901795387268,0.1817854791879654,0.9802204370498657,0.055906992405653,0.22466953098773956,0.9452613592147827,0.14676575362682343,0.972278356552124,0.07790388911962509
18,0.23055313527584076,0.9247630834579468,0.17776349186897278,0.9813568592071533,0.05278972536325455,0.2224409282207489,0.9430361986160278,0.15198564529418945,0.97837895154953,0.07045530527830124
19,0.22513233125209808,0.9256710410118103,0.17501385509967804,0.9823640584945679,0.050118617713451385,0.18696007132530212,0.939513087272644,0.15263508260250092,0.9896159768104553,0.03432494401931763
20,0.21900112926959991,0.927727460861206,0.17115941643714905,0.9831818342208862,0.047841452062129974,0.20580343902111053,0.9317064881324768,0.17406171560287476,0.9902649521827698,0.03174171224236488
21,0.21409043669700623,0.9294261336326599,0.16784395277500153,0.9839003682136536,0.04624593257904053,0.17065614461898804,0.9433514475822449,0.14150889217853546,0.9897643327713013,0.029147284105420113
22,0.20937129855155945,0.9307429790496826,0.16518951952457428,0.9845918416976929,0.04418120160698891,0.2770063877105713,0.897773027420044,0.2490805983543396,0.9912663102149963,0.0279260091483593
23,0.20457999408245087,0.9316449165344238,0.1626804769039154,0.9854486584663391,0.04189938306808472,0.2108071893453598,0.9211370348930359,0.1807718425989151,0.9904318451881409,0.030035490170121193
24,0.20141679048538208,0.9322642087936401,0.16071557998657227,0.9857373237609863,0.040700603276491165,0.15716832876205444,0.9527156352996826,0.1273481249809265,0.9906729459762573,0.029820164665579796
25,0.19752711057662964,0.933478832244873,0.1581609696149826,0.9863355755805969,0.03936615586280823,0.14403969049453735,0.9569248557090759,0.1170332282781601,0.9919338226318359,0.027006398886442184
26,0.19341379404067993,0.9351023435592651,0.15513847768306732,0.9867023825645447,0.03827635943889618,0.28216633200645447,0.8906710743904114,0.25815796852111816,0.99178546667099,0.024008620530366898
27,0.19038835167884827,0.9359802007675171,0.15338213741779327,0.9870300889015198,0.03700591251254082,0.6116635799407959,0.7705687284469604,0.5828486084938049,0.9906172752380371,0.02881556749343872
28,0.18739521503448486,0.9372580051422119,0.15120598673820496,0.9872405529022217,0.036189060658216476,0.14016813039779663,0.9572771787643433,0.11614768207073212,0.9926755428314209,0.02402053028345108
29,0.1864335983991623,0.9375736713409424,0.15021389722824097,0.9874780774116516,0.03621945157647133,0.15675151348114014,0.9544029831886292,0.12878187000751495,0.9909325242042542,0.027969656512141228
30,0.1817544400691986,0.9389536380767822,0.14729927480220795,0.9879530668258667,0.03445526957511902,0.22206468880176544,0.9080828428268433,0.19389545917510986,0.9908583760261536,0.028169425204396248
31,0.1797763854265213,0.9393775463104248,0.1463422328233719,0.9881905913352966,0.03343406692147255,0.14490634202957153,0.9555526971817017,0.12263070791959763,0.9927311539649963,0.022275583818554878
32,0.17723143100738525,0.9405289888381958,0.14446642994880676,0.9886415600776672,0.032764602452516556,0.4093179702758789,0.8441840410232544,0.38558900356292725,0.9923788905143738,0.02372991107404232
33,0.17560972273349762,0.940910816192627,0.14296337962150574,0.9887107014656067,0.03264626860618591,0.2603320777416229,0.9060616493225098,0.21112774312496185,0.9828292727470398,0.04920440539717674
